authorJobLocation,reviewHeadline,reviewDescription,reviewDate,authorJob,company
Avrillé (49),,"Expérience enrichissante. Cependant il faut aimer le travail en solitude, ce qui ne me correspond pas vraiment.",12 juin 2016,Facteur,LE GROUPE LA POSTE
Paris (75),,"Réalisation FACTÉO, Réalisation des maquettes, Réalisation du cahier des charges (flyers), Suivi de commande.",9 juin 2016,Graphiste,LE GROUPE LA POSTE
Paris - Charles-de-Gaulle Airport (95),,"Le groupe La Poste est une très bonne entreprise.,Il y a des primes, un bon Ce.,Mais malheureusement je n'ai pas eu de réponse favorable pour ma demande de mutation.",6 juin 2016,Agent de production,LE GROUPE LA POSTE
Paris,,"Took care of project management about helping salesmen to improve business efficiency.,Due to declining mail volume, the postal sector had to develop,a new management policy to increase the performance.,Strong corporate culture.",8 mai 2014,Junior Project Manager,LE GROUPE LA POSTE
Reims (51),,"Tournée difficile pour débutant malgré bonne entente, bon apprentissage",2 juin 2016,Facteur,LE GROUPE LA POSTE
Saint-Cyr-sur-Mer (83),,"environnement agréable ,bonne entente entre le personnel,travail physique,travail agréable en extérieur",1 juin 2016,Stage de 3ème année de collège,LE GROUPE LA POSTE
Paris 7e (75),,"J'étai en stage, en vue de celui-ci j'ai pue acquérir de nombreuses expériences au seins de cette entreprise. ,Dû à une responsable à l'écoute, un bon service ...",30 mai 2016,"agent d’accueil, guichetière",LE GROUPE LA POSTE
Vichy (03),,"Pour moi ma meilleure expérience professionnelle, je regrette aujourd'hui d'être parti. Très bonne ambiance",28 mai 2016,"Distribution, management équipe",LE GROUPE LA POSTE
Gagny (93),,"Travail en équipe,échange et communication entre les services,écoute et accompagnement",28 mai 2016,Facteur - le,LE GROUPE LA POSTE
Gargenville (78),,"Travail physique, demandant de l'autonomie et répondant à de nombreuses responsabilités.,Pas de primes intempéries.,Travail 6 jours sur 7, heures supplémentaires rarement payées mais compensées par des jours de RTT.",28 mai 2016,Agent de distribution du courrier,LE GROUPE LA POSTE
Bois-d'Arcy (78),,"mon travail saisonnier s'est bien passé, sans aucune difficulté",26 mai 2016,Facteur,LE GROUPE LA POSTE
Laveyron (26),,aucunes heures supp m'a été payé car le directeur ne laisse pas la feuille de HS quand je rentrais de ma tournée,26 mai 2016,Facteur - CDD,LE GROUPE LA POSTE
Rueil-Malmaison (92),,"très bon travail,avec bonne équipe,faisant oublier les désavantages du travail(mauvais temps ect).",25 mai 2016,facteur,LE GROUPE LA POSTE
"Moissy-Cramayel (77),Combs La Ville",,Je travail en collaboration avec un collège de ma commune mais aussi avec plusieurs association et un lycée où cette collaboration ne passe de manière calme sereine et convivial.,25 mai 2016,Manipulateur  de tri de colis et de courriers,LE GROUPE LA POSTE
Neuilly-sur-Marne (93),,lorsque l'on commence savoir se retrouver avec le courrier,24 mai 2016,postier,LE GROUPE LA POSTE
Cagnes-sur-Mer (06),,déplacement dans tout le département sur les différents bureaux de poste,23 mai 2016,Technicien informatique itinérant,LE GROUPE LA POSTE
Clamart (92),,Une trés bonne entente avec l'équipe. Le plus difficile est de porter  les gros colis et le plus agréables est d'avoir réussie sa journée.,23 mai 2016,STAGE,LE GROUPE LA POSTE
Vitrolles (13),,"Le Groupe La Poste est très attaché à la formation de ses agents. Dès mon arrivée dans l'entreprise j'ai été formée par des salariés expérimentés et à l'écoute. Les équipes de La Poste sont très soudées et toujours prête à aider un salarié en difficulté. De plus le directeur d'agence est toujours présent quelque soit les situations. L'ambiance au sein d'une équipe de guichetiers est positive. Cependant, c'est un travail très éprouvant car il y à beaucoup de conflits entre les clients et le vendeurs. En effet, une partie des clients qui se présente viennent pour se plaindre des services de la poste. Il faut être fort mentalement pour effectuer ce métier et réagir de manière courtoise pour satisfaire le client. Mis à part ça, travailler au sein du Groupe La Poste reste une bonne expérience pour ma part.",22 mai 2016,Guichetière,LE GROUPE LA POSTE
Grasse (06),,"Bonne entente entre les différents salariés, pas de stress",20 mai 2016,Grasse - Stagiaire,LE GROUPE LA POSTE
Melle (79),,"Je me suis très bien intégrée à l'équipe du groupe La Poste à Melle. J'ai pu apporter à l'entreprise différentes connaissances, notamment mes compétences relationnelles, rédactionnelles... J'ai pu prendre des initiatives, développer mon côté créatif. Mes collaborateurs ont été très accueillant et à  l'écoute. L'aspect le plus difficile de mon poste à été le contact avec quelques clients. L'aspect le plus agréable de mon poste à été de découvrir l'aspect commerciale, concernant notamment La Poste Mobile.",19 mai 2016,"Stagiaire "" Assistante de direction",LE GROUPE LA POSTE
La Voulte-sur-Rhône (07),,"Les véhicules de fonctions manques d'entretiens,,carrosserie abîmée, manque d'huile, pneu usé.",19 mai 2016,Facteur remplaçant,LE GROUPE LA POSTE
Grenoble (38),,Découverte des métiers de Directeur des Ressources Humaines et Directeur  Communication,12 mai 2016,Stagiaire à La Poste (Branche Courier),LE GROUPE LA POSTE
Guyancourt (78),,Bonne ambiance au travail. équipe très agréable. Ouverts à l'apprentissage mutuel.,9 mai 2016,Développement web,LE GROUPE LA POSTE
Bacqueville-en-Caux (76),,"Une journée typique d'un facteur, voiture, à vélo et à pied.",5 mai 2016,Facteur,LE GROUPE LA POSTE
Paris,,"Took care of project management about helping salesmen to improve business efficiency.,Due to declining mail volume, the postal sector had to develop,a new management policy to increase the performance.,Strong corporate culture.",8 mai 2014,Junior Project Manager,LE GROUPE LA POSTE
La Réunion,,"D'après mes observations, les relations entre collaborateurs sont bonne puisque le travail en équipe fonctionne bien",2 mai 2016,La Réunion - Stagiaire,LE GROUPE LA POSTE
paris,,"Ce travail n'était pas compliquer, il suffisait juste de récupérer les mauvaises lettres venant de l'étranger, les trier et de les renvoyer chez l'expéditeur",28 avril 2016,Employée,LE GROUPE LA POSTE
Questembert (56),,"distribution courrier,agent responsable courrier pendant 2 ans",28 avril 2016,Préposée Agent,LE GROUPE LA POSTE
Corbas (69),,"3h30-11h00,arrivée des semi remorques, livraison conteneurs colis,arrivée des camions, courrier et colis,chargement et déchargement des camions,tri cédex et livraison entreprise ,rangement et arrivée des semi remorque colis ,mise en place pour l'après midi,possibilité de carriére",25 avril 2016,agent de courrier manutentionnaire a la poste,LE GROUPE LA POSTE
Chilly-Mazarin (91),,Ils ont tendance a promettre beaucoup de chose mais c'est une entreprise qui n'assume aucun acte.,20 avril 2016,Employé de la poste (facteur),LE GROUPE LA POSTE
Roubaix (59),,"Tri du courrier, tournée,Aucune,Nul,Absent sauf très bon formateur postier remplacant,tournée seul,travail à l'extérieur",20 avril 2016,Facteur,LE GROUPE LA POSTE
Toulouse (31),,"évolution dans une structure industrielle à la pointe.,très bonne équipe de formation,Bon cadre managériale",20 avril 2016,Courrier,LE GROUPE LA POSTE
Yutz & Fameck,,"Début de journée avec le tri des colis acheminés, flashage des colis , sorti de bordereau sous le logiciel traceo, de 6h à 8h, départ en tournée vers 8h, retour au dépôt ( pas d'horaire fixe, dépend du nombre de colis la journée), reporter le nombre de colis avisés de la journée sur le bordereau puis le remettre aux personnes concernés.,Ce travail permet de développer son sens de l'organisation, de nous rendre plus autonome et plus social.,L'inconvénient est de travailler du lundi au samedi, avec soit un jour de repos toutes les deux semaines ou bien 3 jours de repos d'affilé toutes les 6 semaines.,Heures supplémentaires non payées, car d'après la direction nous ne sommes pas assez performants en tournée, deux ou trois jours seulement de formation, ce qui n'est pas assez, compte tenu de toutes les démarches à faire au dépôt, ainsi que de mémoriser la tournée qui se fait généralement sur deux ou trois villes.",12 avril 2016,Livreur colis,LE GROUPE LA POSTE
Bordeaux (33),,"Nous travaillons en Open Space, de 4 personnes dont les bureaux se touchait.,Les heures de travail n'étant pas fixe dans le sens où on ne pouvait pas arriver après 9 heures mais arriver à 7 heures étaient possible. il en était de même pour les horaires du soir. Chaque employés à un badge sur lequel s'inscrit les heures supplémentaires qu'il a fait ce mois et si elles sont trop importantes, le nombre de congés qu'il devra poser avant une certaine date.,Mis à part ceci qui au final ne nous concerné pas trop puisque nous étions en alternance et non sous contrat a duré déterminé ou fonctionnaire, nous n'avions pas de problème d'heure les nôtres étant fixées dès le départ.",11 avril 2016,GESTIONNAIRE RESSOURCES HUMAINES,LE GROUPE LA POSTE
