sentence;package & benefits;work culture;job description & take outs;relationship with management;team;general appreciation;career & progression
 I presented about ten different businesses information on what internet users preferred and trusted on web pages, and offered ideas about how to market and conduct their business online;;;;;;;
Overall, good compensation and work-life balance;;;;;;;
  It is in transformational stage, lots of uncertainties and negative stress at times;;;;;;;
Great start for a fresher,working environment was good;;;;;;;
,good learing,contacts with clients cordinating worldwide was challenging;;;;;;;
Productive workplace;;;;;;;
,Good Ambience,Learned good communication skill,Management is very helpful,Co-Workers are very helpful and nice co-ordination;;;;;;;
,Sometimes Time management;;;;;;;
,People are nice;;;;;;;
my payroll was diff so the perks were less else its awesome and nothing much to say cause everyone knows about it;;;;;;;
for furthur information you can check the Glassdoor shall know;;;;;;;
Good in Accenture is Social Responsibility Team;;;;;;;
,Some people are not Good;;;;;;;
,There is no Value for your work;;;;;;;
,dsjdsjhdfbhdsfhdshds;;;;;;;
Good in Learning,Good in Employee Engagement,Good in Work Culture;;;;;;;
I learned a lot from co-workers and enjoyed their company;;;;;;;
Supervisors/teamleads were very supportive and they provide a place for professional growth for each and everyone in the office;;;;;;;
Responsible for evaluating the accuracy of data, with specific task of identifying patterns in data and using judgment to take decisions on data quality;;;;;;;
,Working on tasks that are moderately complex in nature, comparing between multiple sources of information, with great attention to detail;;;;;;;
A reliable company to work for;;;;;;;
 Great experience to gain;;;;;;;
 Also a great way to connect with different experienced challenges;;;;;;;
Market pressure caused the firm to reduce headcount in the Financial Services Advisory practices;;;;;;;
" I had the highest utilization in my practice, but my unique skillset was difficult for them to deploy effectively in a ""go-forward"" mindset, despite high utilization in three of the past four years (go figure)";;;;;;;
 So I was let go, after almost twelve years, two months shy of a $20,000+ bonus and ONE WEEK PRIOR to the birth of my second child;;;;;;;
 There is an incredible opportunity to learn and grow at EY, but don't think for a second that they care about you as a person;;;;;;;
I have worked in Accenture for more than 4;;;;;;;
6 years and I would say it is a good company for freshers to work and learn;;;;;;;
,I have been working here as a QA analyst leading a team from Offshore;;;;;;;
 I would say the exposer you get with client teams is good, though recently it has been noticed that working environment is not being very good like it used to be;;;;;;;
Deloitte's consulting and advisory services offer you the comprehensive capabilities and deep industry insight needed to help solve your most complex business challenges;;;;;;;
The job allows you to speak with people and get in touch with companies all over the world, at the same time you constantly learn and develop your career;;;;;;;
It is a great experience where I was able to network and advance my professional growth in a fast-paced setting;;;;;;;
Typical day-Performed detailed analytical and substantive procedures over significant financial statement fluctuations,Performed /analyzed client internal controls over financial reporting, identify issues, and involved in making recommendations to management;;;;;;;
,Management- Great;;;;;;;
Management needed to communicate with staff more, but a moderate place to work;;;;;;;
one of the best comapnies to work for in india and especialy for chartered accountants;;;;;;;
 This is also one of teh Big fours in india;;;;;;;
Its one of top IT company;;;;;;;
working culture and office timing are good here;;;;;;;
lots of fun,policies are good,transportion is good;;;;;;;
A good place to start your career,Work and Life Balance pre senior years,Strong presence in the Financial Services Industry;;;;;;;
EY very flexible after you've worked there for 1 year;;;;;;;
 It's really nice to be able to work from home;;;;;;;
 Also nice that you can transfer anywhere within the company;;;;;;;
Work closely with clients working on some of the complex operational strategy and design related question and operationalizing business strategies;;;;;;;
Good place to start a career, plenty of opportunities to explore and grow in;;;;;;;
 The concept of networking is great but proves to be a challenge for new joiners;;;;;;;
 The first year can be really tough;;;;;;;
At E&Y every day involved a different type of work and it was exciting to exposed to different projects and working with different people;;;;;;;
 I learned there a lot about working in a team and managing other accountants while working on large scale projects;;;;;;;
 The most enjoyable part of the job was the culture and having the chance to work with high level executives that are industry veterans and have great insights;;;;;;;
I work for Berkshire Hathaway, not NNA;;;;;;;
  I think Nissan vehicles are great;;;;;;;
  I have learned a lot;;;;;;;
  Im looking to improve and grow my career ;;;;;;;
Good exposure and working environment;;;;;;;
,Exciting Career growth;;;;;;;
,Motivation is high;;;;;;;
Accenture is one of the good place to work you will get an plenty of opportunities from there the only reason is you have to show yourself in everything;;;;;;;
Accenture is a big organization that feels small through the projects teams and communities;;;;;;;
 The organization generally has great people and a great culture of people development that has enabled me to advance my careers and skills;;;;;;;
Well known house hold brand providing gas and electric throught the UK;;;;;;;
responsible for scheduling practitioners in the Consulting Technology Service Line specializing in SAP, CloudMix, Mulesoft, NetSuite and Workday for Analyst through Senior Manager career levels;;;;;;;
